Time,Date,Temperature,Humidity,Pressure,Latitude,Longitude,Speed
8:12:02,26-02-2022,10.08,68.79,964.55,33.564816,73.151894,15.11
8:12:04,26-02-2022,10.08,68.81,964.52,33.564751,73.151825,18.54
8:12:06,26-02-2022,10.08,68.82,964.56,33.564678,73.151756,20.13
8:12:08,26-02-2022,10.09,68.83,964.63,33.56461,73.151665,21.56
8:12:10,26-02-2022,10.09,68.85,964.68,33.564537,73.151558,22.5
8:12:12,26-02-2022,10.09,68.86,964.75,33.564461,73.151451,23.82
8:12:14,26-02-2022,10.09,68.88,964.8,33.564392,73.151329,24.41
8:12:16,26-02-2022,10.1,68.9,964.92,33.564323,73.151207,22.98
8:12:18,26-02-2022,10.1,68.91,965.03,33.564266,73.151115,18.78
8:12:20,26-02-2022,10.11,68.92,965.1,33.56422,73.151047,14.39
8:12:22,26-02-2022,10.11,68.94,965.13,33.564178,73.151024,9.61
8:12:24,26-02-2022,10.12,68.96,965.16,33.564159,73.151009,5.28
8:12:26,26-02-2022,10.12,68.98,965.12,33.564163,73.151016,5.57
8:12:28,26-02-2022,10.13,68.99,965.18,33.564144,73.151024,4.74
8:12:30,26-02-2022,10.12,68.99,965.05,33.564133,73.151031,2.41
8:12:32,26-02-2022,10.13,68.98,965.15,33.564159,73.151047,1.15
8:12:34,26-02-2022,10.13,68.99,965.15,33.564182,73.151024,2.22
8:12:36,26-02-2022,10.13,69,965.12,33.564144,73.150986,1.37
8:12:38,26-02-2022,10.14,69.01,965.18,33.564125,73.150986,1.04
8:12:40,26-02-2022,10.14,69.03,965.17,33.564114,73.150986,0.98
8:12:42,26-02-2022,10.14,69.04,965.18,33.564125,73.150986,1.52
8:12:44,26-02-2022,10.15,69.05,965.18,33.56411,73.150978,1.15
8:12:46,26-02-2022,10.15,69.06,965.15,33.564091,73.150963,1.06
8:12:48,26-02-2022,10.15,69.08,965.16,33.564095,73.150963,0.76
8:12:50,26-02-2022,10.15,69.11,965.16,33.564102,73.150963,0.83
8:12:52,26-02-2022,10.16,69.13,965.16,33.56411,73.150948,0.48
8:12:54,26-02-2022,10.16,69.16,965.16,33.56411,73.150932,0.61
8:12:56,26-02-2022,10.17,69.21,965.15,33.564114,73.150917,0.48
8:12:58,26-02-2022,10.18,69.27,965.18,33.564114,73.150909,0.7
8:13:00,26-02-2022,10.18,69.31,965.16,33.564114,73.150902,0.07
8:13:02,26-02-2022,10.19,69.35,965.19,33.564114,73.150887,0.22
8:13:04,26-02-2022,10.19,69.39,965.17,33.564274,73.151329,1.59
8:13:06,26-02-2022,10.19,69.43,965.17,33.564251,73.151375,0.22
8:13:08,26-02-2022,10.19,69.49,965.17,33.564236,73.151405,0
8:13:10,26-02-2022,10.2,69.53,965.19,33.564232,73.151413,0.06
8:13:12,26-02-2022,10.2,69.56,965.2,33.56422,73.151421,0.02
8:13:14,26-02-2022,10.21,69.61,965.19,33.564217,73.151428,0.07
8:13:16,26-02-2022,10.21,69.66,965.17,33.564213,73.151436,0.02
8:13:18,26-02-2022,10.21,69.7,965.16,33.564209,73.151436,0.04
8:13:20,26-02-2022,10.21,69.75,965.19,33.564209,73.151443,0.02
8:13:22,26-02-2022,10.22,69.78,965.19,33.564205,73.151443,0.09
8:13:24,26-02-2022,10.22,69.83,965.19,33.564205,73.151451,0.13
8:13:26,26-02-2022,10.23,69.86,965.22,33.564201,73.151459,0.02
8:13:28,26-02-2022,10.22,69.91,965.2,33.564205,73.151459,0.35
8:13:30,26-02-2022,10.23,69.94,965.2,33.564201,73.151466,0.13
8:13:32,26-02-2022,10.23,69.97,965.18,33.564201,73.151466,0.02
8:13:34,26-02-2022,10.23,70.02,965.21,33.564198,73.151466,0.2
8:13:36,26-02-2022,10.24,70.05,965.18,33.564198,73.151466,0.07
8:13:38,26-02-2022,10.24,70.09,965.19,33.564194,73.151474,0.02
8:13:37,26-02-2022,10.24,70.13,965.22,33.564194,73.151474,0.04
8:13:39,26-02-2022,10.24,70.16,965.19,33.564194,73.151474,0.04
8:13:41,26-02-2022,10.24,70.2,965.2,33.56419,73.151474,0.06
8:13:43,26-02-2022,10.24,70.23,965.16,33.56419,73.151474,0.35
8:13:45,26-02-2022,10.26,70.25,965.19,33.564198,73.151474,0.37
8:13:47,26-02-2022,10.25,70.26,965.17,33.564228,73.151451,0.2
8:13:49,26-02-2022,10.24,70.24,965.21,33.564243,73.151436,0.37
8:13:51,26-02-2022,10.25,70.23,965.22,33.564247,73.151428,0.02
8:13:53,26-02-2022,10.25,70.21,965.19,33.564247,73.151436,0.02
8:13:55,26-02-2022,10.24,70.2,965.17,33.564247,73.151436,0.24
8:13:57,26-02-2022,10.25,70.19,965.23,33.564247,73.151443,0
8:13:59,26-02-2022,10.25,70.19,965.21,33.564243,73.151443,0.06
8:14:01,26-02-2022,10.26,70.19,965.22,33.56424,73.151451,0.04
8:14:04,26-02-2022,10.26,70.19,965.22,33.564236,73.151459,0.04
8:14:06,26-02-2022,10.26,70.2,965.19,33.56424,73.151459,0.11
8:14:08,26-02-2022,10.26,70.21,965.2,33.564243,73.151451,0.06
8:14:10,26-02-2022,10.27,70.21,965.22,33.56424,73.151451,0.06
8:14:12,26-02-2022,10.28,70.24,965.21,33.564236,73.151451,0.04
8:14:14,26-02-2022,10.28,70.25,965.22,33.564232,73.151451,0
8:14:16,26-02-2022,10.28,70.26,965.19,33.564224,73.151451,0.04
8:14:18,26-02-2022,10.28,70.28,965.22,33.564217,73.151459,0.02
8:14:20,26-02-2022,10.28,70.29,965.2,33.564209,73.151459,0
8:14:22,26-02-2022,10.29,70.3,965.2,33.564201,73.151459,0.02
8:14:24,26-02-2022,10.3,70.33,965.21,33.564198,73.151466,0.04
8:14:26,26-02-2022,10.3,70.35,965.2,33.564194,73.151466,0.2
8:14:28,26-02-2022,10.3,70.37,965.18,33.564194,73.151466,0.09
8:14:30,26-02-2022,10.31,70.38,965.2,33.564194,73.151459,0.19
8:14:32,26-02-2022,10.31,70.4,965.19,33.564194,73.151459,0.06
8:14:34,26-02-2022,10.31,70.42,965.18,33.564194,73.151459,0.31
8:14:36,26-02-2022,10.32,70.44,965.24,33.564194,73.151466,0.09
8:14:38,26-02-2022,10.33,70.46,965.22,33.564198,73.151459,0.04
8:14:40,26-02-2022,10.33,70.48,965.19,33.564205,73.151459,0.31
8:14:42,26-02-2022,10.34,70.5,965.21,33.564209,73.151459,0.07
8:14:44,26-02-2022,10.33,70.52,965.2,33.564213,73.151451,0.11
8:14:46,26-02-2022,10.34,70.53,965.25,33.564217,73.151451,0.09
8:14:48,26-02-2022,10.35,70.56,965.22,33.564217,73.151451,0.13
8:14:50,26-02-2022,10.35,70.58,965.24,33.564217,73.151451,0.11
8:14:52,26-02-2022,10.36,70.6,965.25,33.564217,73.151451,0.07
8:14:54,26-02-2022,10.36,70.63,965.26,33.56422,73.151451,0.06
8:14:56,26-02-2022,10.36,70.65,965.24,33.564224,73.151451,0.13
8:14:58,26-02-2022,10.36,70.67,965.21,33.564232,73.151443,0
8:15:00,26-02-2022,10.37,70.69,965.24,33.564232,73.151443,0.15
8:15:02,26-02-2022,10.38,70.72,965.25,33.564236,73.151443,0
8:15:04,26-02-2022,10.38,70.74,965.25,33.564232,73.151443,0.33
8:15:06,26-02-2022,10.38,70.76,965.28,33.564236,73.151443,0.02
8:15:08,26-02-2022,10.39,70.79,965.23,33.564232,73.151436,0
8:15:10,26-02-2022,10.39,70.81,965.23,33.564232,73.151443,0.06
8:15:12,26-02-2022,10.39,70.82,965.25,33.564232,73.151443,0.04
8:15:14,26-02-2022,10.4,70.84,965.25,33.564228,73.151443,0.09
8:15:16,26-02-2022,10.41,70.87,965.22,33.564228,73.151443,0
8:15:18,26-02-2022,10.42,70.89,965.28,33.564228,73.151443,0.15
8:15:20,26-02-2022,10.42,70.91,965.25,33.564224,73.151443,0.06
8:15:22,26-02-2022,10.42,70.93,965.24,33.564224,73.151443,0.37
8:15:24,26-02-2022,10.43,70.96,965.23,33.564224,73.151443,0.07
8:15:26,26-02-2022,10.43,70.97,965.23,33.564224,73.151443,1.33
8:15:28,26-02-2022,10.43,70.99,965.24,33.56422,73.151443,0.13
8:15:30,26-02-2022,10.43,71.01,965.24,33.564217,73.151443,0.15
8:15:32,26-02-2022,10.44,71.03,965.25,33.564213,73.151443,0.07
8:15:34,26-02-2022,10.44,71.06,965.26,33.564209,73.151443,0.06
8:15:36,26-02-2022,10.45,71.07,965.28,33.564213,73.151443,0.06
8:15:38,26-02-2022,10.45,71.09,965.25,33.564213,73.151443,0.06
8:15:40,26-02-2022,10.45,71.11,965.28,33.564217,73.151436,0.06
8:15:42,26-02-2022,10.45,71.13,965.29,33.564217,73.151436,0.11
8:15:44,26-02-2022,10.46,71.14,965.26,33.56422,73.151436,0.11
8:15:46,26-02-2022,10.49,71.17,965.23,33.56422,73.151436,0.31
8:15:48,26-02-2022,10.54,71.21,965.23,33.564224,73.151428,0.07
8:15:50,26-02-2022,10.6,71.26,965.25,33.564228,73.151428,0.06
8:15:52,26-02-2022,10.64,71.3,965.22,33.564228,73.151421,0.15
8:15:54,26-02-2022,10.68,71.33,965.27,33.564228,73.151421,0.07
8:15:56,26-02-2022,10.72,71.37,965.26,33.564232,73.151421,0.13
8:15:58,26-02-2022,10.75,71.4,965.26,33.564232,73.151421,0.13
8:16:00,26-02-2022,10.78,71.43,965.26,33.564236,73.151413,0.04
8:16:02,26-02-2022,10.8,71.46,965.27,33.564236,73.151413,0.8
8:16:04,26-02-2022,10.8,71.48,965.22,33.564236,73.151413,0.26
8:16:06,26-02-2022,10.81,71.51,965.25,33.56424,73.151405,0.91
8:16:08,26-02-2022,10.82,71.53,965.27,33.564243,73.151398,0.11
8:16:10,26-02-2022,10.83,71.56,965.3,33.564243,73.151398,0.07
8:16:12,26-02-2022,10.83,71.58,965.26,33.564247,73.151398,0.83
8:16:15,26-02-2022,10.83,71.6,965.29,33.564251,73.15139,0
8:16:17,26-02-2022,10.83,71.61,965.28,33.564255,73.15139,0.04
8:16:19,26-02-2022,10.83,71.63,965.28,33.564255,73.15139,0.09
8:16:21,26-02-2022,10.83,71.65,965.26,33.564259,73.151382,0.06
8:16:23,26-02-2022,10.83,71.66,965.25,33.564262,73.151382,0.06
8:16:25,26-02-2022,10.84,71.67,965.28,33.564262,73.151382,0.07
8:16:27,26-02-2022,10.84,71.69,965.33,33.564262,73.151382,0
8:16:29,26-02-2022,10.83,71.7,965.26,33.564262,73.151382,0.04
8:16:31,26-02-2022,10.83,71.71,965.28,33.564259,73.151382,0
8:16:33,26-02-2022,10.83,71.72,965.29,33.564259,73.151382,0.06
8:16:35,26-02-2022,10.84,71.73,965.28,33.564259,73.151382,0.07
8:16:37,26-02-2022,10.83,71.75,965.26,33.564259,73.151382,0.39
8:16:39,26-02-2022,10.83,71.74,965.25,33.564259,73.151382,0.04
8:16:41,26-02-2022,10.82,71.76,965.26,33.564259,73.151382,0.07
8:16:43,26-02-2022,10.83,71.78,965.27,33.564262,73.151382,0.02
8:16:45,26-02-2022,10.82,71.78,965.26,33.564262,73.151382,0.02
8:16:47,26-02-2022,10.82,71.8,965.27,33.564259,73.151382,0.04
8:16:49,26-02-2022,10.82,71.81,965.31,33.564259,73.151382,0.07
8:16:51,26-02-2022,10.82,71.81,965.3,33.564259,73.151375,0.11
8:16:53,26-02-2022,10.82,71.82,965.29,33.564262,73.151375,0.09
8:16:55,26-02-2022,10.82,71.83,965.29,33.564262,73.151375,0.26
8:16:57,26-02-2022,10.82,71.84,965.25,33.564259,73.151375,0.04
8:16:59,26-02-2022,10.82,71.84,965.27,33.564262,73.151375,0.02
8:17:01,26-02-2022,10.82,71.84,965.24,33.564259,73.151375,0.02
8:17:03,26-02-2022,10.83,71.86,965.27,33.564262,73.151375,0.02
8:17:05,26-02-2022,10.81,71.85,965.25,33.564266,73.151367,0
8:17:07,26-02-2022,10.82,71.87,965.29,33.564266,73.151367,0.06
8:17:09,26-02-2022,10.82,71.87,965.25,33.56427,73.151367,0
8:17:11,26-02-2022,10.82,71.88,965.27,33.56427,73.151367,0.04
8:17:13,26-02-2022,10.82,71.88,965.32,33.564274,73.151367,0.3
8:17:15,26-02-2022,10.82,71.89,965.29,33.564274,73.151367,0.06
8:17:17,26-02-2022,10.82,71.88,965.27,33.564274,73.151367,0.09
8:17:19,26-02-2022,10.82,71.89,965.28,33.564278,73.15136,0.06
8:17:21,26-02-2022,10.83,71.89,965.28,33.564278,73.15136,0.04
8:17:23,26-02-2022,10.83,71.89,965.28,33.564281,73.15136,0.06
8:17:25,26-02-2022,10.82,71.89,965.28,33.564285,73.15136,0.3
8:17:27,26-02-2022,10.82,71.89,965.28,33.564285,73.15136,0.09
8:17:29,26-02-2022,10.83,71.89,965.28,33.564289,73.15136,0.07
8:17:31,26-02-2022,10.83,71.89,965.29,33.564289,73.15136,0.07
8:17:33,26-02-2022,10.83,71.89,965.31,33.564293,73.151352,0.09
8:17:35,26-02-2022,10.83,71.89,965.31,33.564297,73.151352,0.09
8:17:37,26-02-2022,10.83,71.89,965.29,33.564297,73.151352,0.17
8:17:39,26-02-2022,10.83,71.89,965.31,33.564293,73.15136,0.11
8:17:41,26-02-2022,10.84,71.9,965.3,33.564289,73.15136,0.11
8:17:43,26-02-2022,10.83,71.89,965.3,33.564289,73.15136,0.11
8:17:45,26-02-2022,10.84,71.9,965.27,33.564289,73.151367,0.11
8:17:47,26-02-2022,10.84,71.89,965.31,33.564285,73.151367,0.09
8:17:49,26-02-2022,10.84,71.89,965.29,33.564281,73.151367,0.07
8:17:51,26-02-2022,10.84,71.88,965.3,33.564281,73.151367,0.09
8:17:53,26-02-2022,10.84,71.89,965.3,33.564278,73.151367,0.04
8:17:55,26-02-2022,10.84,71.89,965.31,33.564274,73.151367,0.13
8:17:57,26-02-2022,10.85,71.89,965.3,33.56427,73.151375,0.06
8:17:59,26-02-2022,10.85,71.89,965.3,33.56427,73.151375,0.09
8:18:01,26-02-2022,10.85,71.88,965.3,33.564266,73.151375,0.06
8:18:03,26-02-2022,10.86,71.88,965.3,33.564266,73.151375,0.07
8:18:05,26-02-2022,10.86,71.88,965.32,33.564266,73.151375,0
8:18:07,26-02-2022,10.85,71.88,965.3,33.564266,73.151375,0.04
8:18:09,26-02-2022,10.86,71.88,965.28,33.564262,73.151375,0.04
8:18:11,26-02-2022,10.86,71.88,965.28,33.564259,73.151382,0.02
8:18:13,26-02-2022,10.86,71.88,965.3,33.564255,73.151382,0.17
8:18:15,26-02-2022,10.87,71.88,965.31,33.564251,73.151382,0.13
8:18:17,26-02-2022,10.87,71.87,965.29,33.564247,73.151382,0.54
8:18:19,26-02-2022,10.87,71.87,965.29,33.564243,73.151382,0.07
8:18:21,26-02-2022,10.87,71.88,965.3,33.564243,73.151382,0.07
8:18:23,26-02-2022,10.87,71.89,965.32,33.564243,73.15139,0.06
8:18:26,26-02-2022,10.88,71.87,965.31,33.56424,73.15139,0.06
8:18:28,26-02-2022,10.88,71.89,965.31,33.564236,73.15139,0.06
8:18:30,26-02-2022,10.88,71.87,965.29,33.564236,73.15139,0.04
8:18:32,26-02-2022,10.88,71.87,965.27,33.564236,73.151398,0.07
8:18:34,26-02-2022,10.89,71.88,965.3,33.564236,73.151398,0.02
8:18:36,26-02-2022,10.89,71.88,965.28,33.564236,73.151398,0.04
8:18:38,26-02-2022,10.89,71.89,965.31,33.564236,73.151398,0
8:18:40,26-02-2022,10.9,71.89,965.33,33.56424,73.151398,0.02
8:18:42,26-02-2022,10.9,71.88,965.32,33.56424,73.151398,0.04
8:18:44,26-02-2022,10.9,71.89,965.31,33.56424,73.151398,0
8:18:46,26-02-2022,10.9,71.88,965.33,33.56424,73.151405,0.06
8:18:48,26-02-2022,10.92,71.88,965.29,33.56424,73.151405,0
8:18:50,26-02-2022,10.91,71.88,965.31,33.56424,73.151405,0.04
8:18:52,26-02-2022,10.91,71.88,965.27,33.56424,73.151405,0.02
8:18:54,26-02-2022,10.92,71.88,965.27,33.564243,73.151398,0.06
8:18:56,26-02-2022,10.92,71.88,965.33,33.564243,73.151398,0.04
8:18:58,26-02-2022,10.92,71.89,965.32,33.56424,73.151398,0.17
8:19:00,26-02-2022,10.92,71.89,965.31,33.564243,73.151398,0.11
8:19:02,26-02-2022,10.93,71.89,965.31,33.564243,73.151398,0.13
8:19:04,26-02-2022,10.93,71.89,965.29,33.564243,73.151398,0.09
8:19:06,26-02-2022,10.93,71.91,965.28,33.564243,73.151398,0.11
8:19:08,26-02-2022,10.94,71.92,965.29,33.564243,73.15139,0.02
8:19:10,26-02-2022,10.93,71.91,965.3,33.564243,73.15139,0.04
8:19:12,26-02-2022,10.94,71.92,965.31,33.56424,73.15139,0.04
8:19:14,26-02-2022,10.94,71.92,965.31,33.56424,73.15139,0
8:19:16,26-02-2022,10.95,71.93,965.31,33.56424,73.15139,0.02
8:19:18,26-02-2022,10.95,71.93,965.31,33.564236,73.15139,0
8:19:20,26-02-2022,10.96,71.94,965.32,33.564236,73.15139,0.09
8:19:22,26-02-2022,10.96,71.94,965.32,33.564236,73.15139,0.06
8:19:24,26-02-2022,10.96,71.94,965.31,33.564236,73.15139,0.09
8:19:26,26-02-2022,10.96,71.96,965.32,33.564236,73.151382,0.02
8:19:28,26-02-2022,10.96,71.96,965.33,33.56424,73.151382,0.11
8:19:30,26-02-2022,10.97,71.96,965.33,33.56424,73.151382,0.04
8:19:32,26-02-2022,10.98,71.97,965.34,33.56424,73.151382,0.11
8:19:34,26-02-2022,10.98,71.98,965.34,33.56424,73.151382,0.11
8:19:36,26-02-2022,10.98,71.97,965.32,33.56424,73.151382,0.17
8:19:38,26-02-2022,10.98,71.98,965.34,33.56424,73.151382,0.5
8:19:40,26-02-2022,10.99,71.98,965.35,33.564236,73.151382,0.09
8:19:42,26-02-2022,11,72,965.35,33.564236,73.151382,0.06
8:19:44,26-02-2022,11,72,965.32,33.564232,73.151382,0.09
8:19:46,26-02-2022,11,72.01,965.34,33.564232,73.151382,0.09
8:19:48,26-02-2022,11.01,72.01,965.34,33.564232,73.151382,2
8:19:50,26-02-2022,11.01,72.02,965.35,33.564243,73.151375,0.06
8:19:52,26-02-2022,11.01,72.02,965.32,33.564247,73.151375,0
8:19:54,26-02-2022,11.02,72.02,965.37,33.564251,73.151375,0.5
8:19:56,26-02-2022,11.02,72.02,965.33,33.564259,73.151375,0.15
8:19:58,26-02-2022,11.02,72.02,965.35,33.564255,73.151382,0.04
8:20:00,26-02-2022,11.03,72.02,965.38,33.56427,73.151382,0.02
8:20:02,26-02-2022,11.02,72.01,965.3,33.564274,73.151375,0.13
8:20:04,26-02-2022,11.02,72,965.36,33.564274,73.151382,0.85
8:20:06,26-02-2022,11.02,71.99,965.34,33.564274,73.151375,2.19
8:20:08,26-02-2022,11.02,71.97,965.34,33.564285,73.151367,2.76
8:20:10,26-02-2022,11.03,71.96,965.33,33.564301,73.15136,4.24
8:20:12,26-02-2022,11.03,71.94,965.32,33.564316,73.151367,0.91
8:20:14,26-02-2022,11.03,71.92,965.36,33.564323,73.151375,3.41
8:20:16,26-02-2022,11.04,71.92,965.36,33.564346,73.151367,0.81
8:20:18,26-02-2022,11.05,71.93,965.35,33.564369,73.151367,2.19
8:20:20,26-02-2022,11.04,71.92,965.38,33.564388,73.151367,0.91
8:20:22,26-02-2022,11.04,71.92,965.34,33.564392,73.151367,1.04
8:20:24,26-02-2022,11.05,71.94,965.32,33.564396,73.151375,0.89
8:20:26,26-02-2022,11.05,71.94,965.32,33.564407,73.151367,0.15
8:20:28,26-02-2022,11.06,71.94,965.34,33.564419,73.151352,0.98
8:20:30,26-02-2022,11.07,71.93,965.38,33.5644,73.151299,7.54
8:20:32,26-02-2022,11.06,71.93,965.4,33.564373,73.151253,9.67
8:20:34,26-02-2022,11.07,71.93,965.43,33.564339,73.151169,13.58
8:20:37,26-02-2022,11.08,71.93,965.5,33.564293,73.151077,7.2
8:20:39,26-02-2022,11.07,71.93,965.48,33.564247,73.151031,11.72
8:20:41,26-02-2022,11.08,71.93,965.55,33.564194,73.150955,17.35
8:20:43,26-02-2022,11.08,71.93,965.6,33.564133,73.150856,23.28
8:20:45,26-02-2022,11.08,71.92,965.65,33.564064,73.150726,25.67
8:20:47,26-02-2022,11.09,71.92,965.74,33.563995,73.150589,26.34
8:20:49,26-02-2022,11.09,71.92,965.81,33.563915,73.150459,27.02
8:20:51,26-02-2022,11.08,71.92,965.89,33.56382,73.15033,28.08
8:20:53,26-02-2022,11.09,71.92,965.97,33.563725,73.150208,27.06
8:20:55,26-02-2022,11.09,71.92,966.09,33.56366,73.150085,20.82
8:20:57,26-02-2022,11.1,71.92,966.19,33.563614,73.150002,12.3
