Time,Date,Temerature,Humidity,Pressure,Latitude,Longitude,Speed
15:30:01,27-02-2022,27.63,37.95,975.82,33.388477,72.817848,114.62
15:30:03,27-02-2022,27.64,37.98,975.76,33.38905,72.817818,113.95
15:30:05,27-02-2022,27.64,38,975.81,33.389618,72.817795,112.99
15:30:07,27-02-2022,27.64,38,975.83,33.390182,72.817772,112.06
15:30:09,27-02-2022,27.64,37.99,975.87,33.390743,72.817749,112.27
15:30:11,27-02-2022,27.64,37.98,975.93,33.391293,72.817734,108.01
15:30:13,27-02-2022,27.64,37.98,975.88,33.39183,72.817734,106.69
15:30:15,27-02-2022,27.65,37.99,975.81,33.392365,72.817741,106.21
15:30:17,27-02-2022,27.64,38,975.95,33.392895,72.817772,105.69
15:30:19,27-02-2022,27.65,38.01,975.91,33.393421,72.817833,105.56
15:30:21,27-02-2022,27.65,38.01,975.86,33.39394,72.817917,106.18
15:30:23,27-02-2022,27.65,38.01,975.85,33.394463,72.818024,106.3
15:30:25,27-02-2022,27.65,38.01,975.77,33.394989,72.818153,107.6
15:30:27,27-02-2022,27.66,38.03,975.58,33.395515,72.818314,106.6
15:30:29,27-02-2022,27.66,38.03,975.69,33.396034,72.818504,106.99
15:30:31,27-02-2022,27.66,38.04,975.73,33.396542,72.818718,106.25
15:30:33,27-02-2022,27.66,38.04,975.69,33.397038,72.818947,105.88
15:30:35,27-02-2022,27.66,38.03,975.68,33.397518,72.819214,105.64
15:30:37,27-02-2022,27.65,38,975.55,33.397995,72.819489,105.08
15:30:39,27-02-2022,27.66,37.97,975.56,33.39846,72.819786,105.21
15:30:41,27-02-2022,27.66,37.94,975.48,33.398918,72.820099,104.99
15:30:43,27-02-2022,27.66,37.96,975.25,33.399372,72.820419,104.8
15:30:45,27-02-2022,27.67,37.95,975.28,33.399818,72.820747,104.69
15:30:47,27-02-2022,27.66,37.92,975.25,33.400269,72.821075,104.79
15:30:49,27-02-2022,27.66,37.9,975.13,33.400719,72.821404,104.79
15:30:51,27-02-2022,27.67,37.9,975.1,33.401165,72.821732,104.79
15:30:53,27-02-2022,27.66,37.9,975.05,33.401615,72.82206,105.1
