-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 01/01/2022 
Location: Latitude  33.7508   Longitude 73.1356 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1030.58 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (C) 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,T2M,QV2M
2022,1,1,0,6.25,2.69
2022,1,1,1,5.97,2.81
2022,1,1,2,5.72,2.93
2022,1,1,3,4.89,2.81
2022,1,1,4,4.15,2.81
2022,1,1,5,3.95,2.99
2022,1,1,6,3.98,2.93
2022,1,1,7,4.49,2.93
2022,1,1,8,6.66,3.3
2022,1,1,9,10.08,3.54
2022,1,1,10,12.48,2.44
2022,1,1,11,13.91,2.32
2022,1,1,12,14.45,2.32
2022,1,1,13,14.21,2.38
2022,1,1,14,13.8,2.5
2022,1,1,15,12.49,3.72
2022,1,1,16,10.23,4.39
2022,1,1,17,9.69,3.66
2022,1,1,18,9.96,3.17
2022,1,1,19,8.72,3.54
2022,1,1,20,7.05,3.72
2022,1,1,21,6.28,3.42
2022,1,1,22,6.37,3.3
2022,1,1,23,6.38,3.23
